0,0
1303,310.0,1690.0,1.380,0.731,0.646,120,0
1323,320.0,1680.0,1.410,0.699,0.659,123,0
1343,335.0,1665.0,1.440,0.769,0.687,124,0
1363,355.0,1645.0,1.470,0.775,0.709,125,0
1383,365.0,1635.0,1.500,0.602,0.682,134,0
1403,375.0,1625.0,1.500,0.885,0.733,127,0
1423,395.0,1605.0,1.500,0.819,0.754,124,0
1443,405.0,1595.0,1.500,0.523,0.697,134,0
1463,420.0,1580.0,1.500,0.910,0.750,126,0
1483,430.0,1570.0,1.500,0.431,0.670,139,0
1503,450.0,1550.0,1.500,1.031,0.760,125,0
1523,465.0,1535.0,1.500,0.821,0.775,124,0
1543,475.0,1525.0,1.500,0.449,0.694,136,0
1563,475.0,1525.0,1.500,0.161,0.561,157,0
1583,495.0,1505.0,1.500,1.074,0.689,138,0
1603,520.0,1480.0,1.500,1.087,0.788,124,0
1623,540.0,1460.0,1.500,1.147,0.878,111,0
1643,560.0,1440.0,1.500,1.126,0.940,102,0
1663,575.0,1425.0,1.500,0.655,0.869,113,0
1683,595.0,1405.0,1.500,1.172,0.945,102,0
1703,615.0,1385.0,1.500,1.154,0.997,94,0
1723,640.0,1360.0,1.500,1.148,1.035,89,0
1743,665.0,1335.0,1.500,1.251,1.089,81,0
1763,685.0,1315.0,1.500,1.166,1.108,78,0
1783,710.0,1290.0,1.500,1.130,1.114,78,0
1803,730.0,1270.0,1.500,0.921,1.065,85,0
1823,740.0,1260.0,1.500,1.179,1.094,81,0
1843,760.0,1240.0,1.500,0.765,1.012,94,0
1863,785.0,1215.0,1.500,1.120,1.039,90,0
1883,805.0,1195.0,1.500,1.149,1.066,86,0
1903,830.0,1170.0,1.500,1.351,1.137,76,0
1923,850.0,1150.0,1.500,1.136,1.137,76,0
1943,860.0,1140.0,1.500,1.106,1.129,77,0
1963,885.0,1115.0,1.493,1.151,1.135,76,0
1983,905.0,1095.0,1.480,1.176,1.145,72,0
2005,930.0,1070.0,1.463,1.129,1.141,70,0
2025,955.0,1045.0,1.446,1.136,1.140,68,0
